,cluster,cluster_frequency
33,34,"[(' Restaurants', 5), (' Shopping', 3), (' Automotive', 2), ('Food', 2), ('American (Traditional)', 2), ('Active Life', 2), (' Mags', 1), (' Grocery', 1), ('Oil Change Stations', 1), (' Trainers', 1), ('Sushi Bars', 1), (' Home & Garden', 1), (' Gyms', 1), (' Italian', 1), ('Diners', 1), (' Bookstores', 1), (' Coffee & Tea', 1), (' Fitness & Instruction', 1), (' Chinese', 1), ('Local Services', 1), (' Mini Golf', 1), ('Kitchen & Bath', 1), ('Restaurants', 1), (' Music & Video', 1), ('Chinese', 1), (' Dry Cleaning & Laundry', 1), ('Tires', 1), ('Health & Medical', 1), ('Books', 1), (' Battery Stores', 1), (' Urgent Care', 1)]"
34,35,"[(' Restaurants', 2), (' Real Estate', 1), (' Bars', 1), ('Breakfast & Brunch', 1), ('Food', 1), (' Coffee & Tea', 1), (' Vegetarian', 1), ('Pubs', 1), (' Sports Bars', 1), (' Nightlife', 1), ('Real Estate Services', 1), (' Home Services', 1), ('Pizza', 1)]"
35,36,"[('Local Services', 1), (' Dry Cleaning & Laundry', 1)]"
36,37,"[(' Restaurants', 12), ('Food', 5), (' Shopping', 4), ('Pizza', 3), (' Automotive', 2), (' Grocery', 2), ('Burgers', 2), ('Chinese', 2), (' Gas & Service Stations', 1), (' Ice Cream & Frozen Yogurt', 1), ('American (New)', 1), (' Cheesesteaks', 1), ('Indian', 1), (' Financial Services', 1), ('Sandwiches', 1), ('Shopping Centers', 1), ('Banks & Credit Unions', 1), ('Car Wash', 1), (' Chicken Wings', 1), (' Beauty & Spas', 1), (' Italian', 1), (' Fast Food', 1), ('Diners', 1), ('Barbeque', 1), (' Dance Studios', 1), (' Fitness & Instruction', 1), (' Coffee & Tea', 1), ('Local Services', 1), (' Himalayan/Nepalese', 1), ('Discount Store', 1), ('Sporting Goods', 1), ('Restaurants', 1), ('Barbers', 1), (' Yoga', 1), (' Drugstores', 1), ('Active Life', 1), (' Dry Cleaning & Laundry', 1), (' Convenience Stores', 1)]"
37,38,"[(' Performing Arts', 1), ('Arts & Entertainment', 1)]"
38,39,"[(' Automotive', 1), (' Towing', 1), ('Auto Repair', 1)]"
39,40,"[(' Restaurants', 4), ('Food', 3), (' Italian', 2), ('Local Services', 2), (' Gas & Service Stations', 1), (' Ice Cream & Frozen Yogurt', 1), (' Automotive', 1), ('Beauty & Spas', 1), ('Sushi Bars', 1), ('Hair Salons', 1), ('Shopping', 1), (' Seafood', 1), (' Luggage', 1), (' Beauty & Spas', 1), ('Steakhouses', 1), (' Nightlife', 1), (' Coffee & Tea', 1), (' Nail Salons', 1), (' Chinese', 1), (' Sewing & Alterations', 1), (' Taiwanese', 1), (' Shoe Repair', 1), ('Restaurants', 1), ('Bars', 1), ('Mexican', 1), ('Veterinarians', 1), (' Pets', 1), (' Convenience Stores', 1), (' Pizza', 1)]"
40,41,"[(' Nightlife', 2), ('Bars', 1), ('American (Traditional)', 1), ('Food', 1), (' Arts & Entertainment', 1), ('Museums', 1), (' Breweries', 1), (' Restaurants', 1), (' Beer Gardens', 1)]"
41,42,"[(' Restaurants', 4), ('Bars', 2), (' Nightlife', 2), (' Buffets', 1), ('American (New)', 1), ('American (Traditional)', 1), (' American (Traditional)', 1), ('Steakhouses', 1), ('Arts & Entertainment', 1), (' Sports Bars', 1), (' Casinos', 1), (' Barbeque', 1)]"
42,43,"[('Home Services', 1), (' Home Inspectors', 1)]"
43,44,"[('Churches', 1), (' Religious Organizations', 1)]"
44,45,"[(' Restaurants', 3), ('Pubs', 1), ('American (Traditional)', 1), (' Ice Cream & Frozen Yogurt', 1), (' Pet Stores', 1), (' Nightlife', 1), ('Food', 1), (' Turkish', 1), (' Vegetarian', 1), (' Mediterranean', 1), (' Italian', 1), ('Tapas/Small Plates', 1), (' Bars', 1), ('Pets', 1), (' Latin American', 1), (' Pizza', 1), ('Restaurants', 1)]"
45,46,"[(' Restaurants', 16), (' Shopping', 11), (' Fashion', 6), (' American (Traditional)', 4), ('Food', 4), (' Nightlife', 4), ('Shopping', 4), (' Beauty & Spas', 3), ('Burgers', 3), ('Bars', 3), ('Arts & Entertainment', 2), (' Mobile Phones', 2), (' Cosmetics & Beauty Supply', 2), (""Women's Clothing"", 2), ('Fashion', 2), ('American (Traditional)', 2), (' Shoe Stores', 2), ('Department Stores', 2), (""Men's Clothing"", 1), (' Formal Wear', 1), (' Internet Service Providers', 1), (' Optometrists', 1), (' Home Decor', 1), (' Ophthalmologists', 1), (' Pubs', 1), (' Department Stores', 1), (' Diners', 1), ('Shopping Centers', 1), (' Nail Salons', 1), (' Professional Services', 1), ('Barbeque', 1), (' Comedy Clubs', 1), (' Home & Garden', 1), (' Salad', 1), (' American (New)', 1), (' Gluten-Free', 1), (' Asian Fusion', 1), (' Gyms', 1), (' Health & Medical', 1), (' Arts & Entertainment', 1), (' Italian', 1), (' Wineries', 1), (' Coffee & Tea', 1), (' Home Services', 1), ('Thai', 1), (' Eyewear & Opticians', 1), ('Seafood', 1), ('Hotels & Travel', 1), (' Sushi Bars', 1), (' Japanese', 1), (' Bars', 1), (' Cinema', 1), ('Hair Salons', 1), (' Fitness & Instruction', 1), (' Accessories', 1), ('Doctors', 1), ('Steakhouses', 1), ('Gluten-Free', 1), ('Lingerie', 1), (' Ice Cream & Frozen Yogurt', 1), ('Nightlife', 1), (' Arcades', 1), (' Event Planning & Services', 1), (' Hotels', 1), ('Restaurants', 1), ("" Men's Clothing"", 1), ('Mexican', 1), (' Breweries', 1), (' Day Spas', 1), ('Soup', 1), (' Jewelry', 1), (' Chinese', 1), ('Active Life', 1), (' Flowers & Gifts', 1), (' Sandwiches', 1), ('Gift Shops', 1), (' Pizza', 1), (' Electronics', 1)]"
46,47,"[(' Restaurants', 12), ('Food', 6), (' Food', 4), ('Bakeries', 4), (' Italian', 3), ('Restaurants', 3), (' Automotive', 2), (' Nightlife', 2), ('Pizza', 2), (' Coffee & Tea', 2), (' Gas & Service Stations', 1), (' Ice Cream & Frozen Yogurt', 1), (' Pretzels', 1), (' Shopping', 1), (' Hot Dogs', 1), (' Specialty Food', 1), ('Burgers', 1), ('Barbeque', 1), ('Pubs', 1), ('Shopping', 1), ('Egyptian', 1), (' Middle Eastern', 1), (' Grocery', 1), (' Party & Event Planning', 1), ('Diners', 1), (' American (Traditional)', 1), (' Bars', 1), (' Barbeque', 1), (' Bikes', 1), ('Greek', 1), ('Sporting Goods', 1), ('Bars', 1), ('Mexican', 1), ('Chinese', 1), (' Drugstores', 1), ('Auto Repair', 1), (' Sandwiches', 1), ('Soul Food', 1), (' Convenience Stores', 1), ('Event Planning & Services', 1)]"
47,48,"[(' Restaurants', 8), (' Chicken Wings', 2), ('Hair Salons', 1), ('Mexican', 1), ('American (Traditional)', 1), (' Nail Salons', 1), ('Food', 1), (' Beauty & Spas', 1), ('Seafood', 1), (' Delis', 1), ('Hot Dogs', 1), (' Hot Dogs', 1), ('Caribbean', 1), ('Italian', 1), (' Pizza', 1), (' Eyelash Service', 1), ('Pizza', 1)]"
48,49,"[('Veterinarians', 1), (' Pets', 1)]"
49,50,"[('Food', 1), (' Grocery', 1)]"
50,51,"[(' Restaurants', 4), ('Pizza', 2), ('Food', 2), (' Nightlife', 2), ('Bars', 2), (' Gas & Service Stations', 1), (' Shopping', 1), (' Automotive', 1), (' American (Traditional)', 1), ('Breakfast & Brunch', 1), (' Auto Parts & Supplies', 1), (' Lounges', 1), ('Automotive', 1), (' Food', 1), (' Wine & Spirits', 1), (' Coffee & Tea', 1), ('Discount Store', 1), (' Sports Bars', 1), (' Pubs', 1), (' Beer', 1), (' Sandwiches', 1), (' Convenience Stores', 1)]"
51,52,"[('Television Stations', 1), (' Mass Media', 1)]"
52,53,"[(' Restaurants', 1), ('Pizza', 1)]"
53,54,"[(' Restaurants', 4), ('Mexican', 2), (' Shopping', 2), (' Nail Salons', 2), ('Food', 2), ('Hair Salons', 1), (' Candy Stores', 1), (' Ice Cream & Frozen Yogurt', 1), ('American (Traditional)', 1), (' Coffee & Tea', 1), ('Beauty & Spas', 1), ('Tobacco Shops', 1), (' Chinese', 1), ('Breakfast & Brunch', 1), (' Tex-Mex', 1), ('Shopping Centers', 1), (' Specialty Food', 1), (' Day Spas', 1), (' Beauty & Spas', 1)]"
54,55,"[(' Restaurants', 1), ('Automotive', 1), (' Motorcycle Dealers', 1), (' Pizza', 1), ('Italian', 1)]"
55,56,"[(' Restaurants', 6), ('Bars', 2), (' Nightlife', 2), (' Pizza', 2), ('Italian', 2), (' Chicken Wings', 1), ('Sandwiches', 1), (' Barbeque', 1), ('Burgers', 1), (' Fast Food', 1), (' Dive Bars', 1), (' Burgers', 1)]"
56,57,"[(' Restaurants', 8), (' Nightlife', 5), ('Hotels & Travel', 4), (' Event Planning & Services', 4), (' Hotels', 4), ('Bars', 4), ('Active Life', 3), ('American (New)', 2), ('Arts & Entertainment', 2), (' Venues & Event Spaces', 2), (' Bars', 2), (' Sports Bars', 2), (' Stadiums & Arenas', 1), ('Chicken Wings', 1), (' Shopping', 1), (' Rafting/Kayaking', 1), ('Sandwiches', 1), ('Pizza', 1), (' American (New)', 1), ('Food', 1), ('Automotive', 1), (' Arts & Entertainment', 1), ('Pubs', 1), (' Sports Wear', 1), (' Wine & Spirits', 1), (' Professional Sports Teams', 1), (' Fitness & Instruction', 1), (' Fashion', 1), ('Steakhouses', 1), ('Museums', 1), ('Nightlife', 1), ('Sporting Goods', 1), (' Parking', 1), (' Yoga', 1), (' Delis', 1), (' Bike Rentals', 1), (' Parks', 1), (' Beer', 1), (' Sandwiches', 1), (' Cycling Classes', 1)]"
57,58,"[(' Local Flavor', 1), ('Local Services', 1), ('Arts & Entertainment', 1)]"
58,59,"[('Breakfast & Brunch', 3), (' Restaurants', 3), (' Diners', 2), (' Home Services', 2), ('Bakeries', 1), (' Books', 1), (' Real Estate Services', 1), ('Shopping', 1), (' Music & DVDs', 1), (' Real Estate', 1), (' Food', 1), (' Home & Garden', 1), ('Interior Design', 1), (' Antiques', 1), (' Desserts', 1), (' Furniture Stores', 1), (' Music & Video', 1), (' American (Traditional)', 1), (' Mags', 1), (' Shopping', 1)]"
59,60,"[(' Restaurants', 10), (' Shopping', 7), ('Shopping', 5), (' Gyms', 3), (' Fashion', 3), (' Fitness & Instruction', 3), ('Active Life', 3), (' Food', 2), (' American (New)', 2), ('Food', 2), (' Office Equipment', 2), (""Women's Clothing"", 2), (' Sandwiches', 2), ('Bakeries', 1), (' Chocolatiers & Shops', 1), (' Active Life', 1), (' Grocery', 1), ('Sandwiches', 1), ('Pets', 1), (' Specialty Food', 1), (' Gastropubs', 1), ('Shopping Centers', 1), (' Salad', 1), (' Florists', 1), (' Cafes', 1), (' Event Planning & Services', 1), (' Sewing & Alterations', 1), (' Sports Wear', 1), (' Fast Food', 1), (' Coffee & Tea', 1), ('Gastropubs', 1), ('Department Stores', 1), (' Gift Shops', 1), ('Hotels & Travel', 1), (' Pet Stores', 1), (' Furniture Stores', 1), (' Sports Clubs', 1), (' Chinese', 1), (' Accessories', 1), (' Trainers', 1), ('Local Services', 1), (' Bikes', 1), ('Burgers', 1), ('Fashion', 1), (' Home & Garden', 1), ('Thai', 1), (' Hotels', 1), (' Mountain Biking', 1), (' Bridal', 1), (' Buffets', 1), ('Chinese', 1), ('Soup', 1), ('American (Traditional)', 1), ('Asian Fusion', 1), (' Adult Education', 1), (' Flowers & Gifts', 1), ('Hot Dogs', 1), (' Sporting Goods', 1), ('Vitamins & Supplements', 1), ('Education', 1), (' Knitting Supplies', 1)]"
60,61,"[(' Beauty & Spas', 2), ('Hair Salons', 1), (' Chiropractors', 1), (' Dry Cleaning & Laundry', 1), (' Massage', 1), ('Local Services', 1), ('Health & Medical', 1)]"
61,62,"[(' Gas & Service Stations', 1), (' Home & Garden', 1), (' Shopping', 1), ('Auto Repair', 1), (' Automotive', 1), ('Mattresses', 1), (' Mediterranean', 1), ('Health & Medical', 1), (' Furniture Stores', 1), (' Tires', 1), (' Restaurants', 1), (' Urgent Care', 1), ('Pizza', 1)]"
62,63,"[(' Nurseries & Gardening', 1), (' Home & Garden', 1), ('Shopping', 1)]"
63,64,"[(' Restaurants', 1), ('Cafes', 1)]"
64,65,"[(' Restaurants', 20), ('Pizza', 6), (' Nightlife', 6), (' Shopping', 5), ('Food', 5), (' Mags', 4), (' Music & Video', 4), ('Bars', 4), (' Beauty & Spas', 3), (' Books', 3), ('Active Life', 3), (' Health & Medical', 2), (' Videos & Video Game Rental', 2), (' Bookstores', 2), ('Hair Salons', 2), ('Shopping', 2), ('Thai', 2), (' Bars', 2), ('Music & DVDs', 2), (' Coffee & Tea', 2), (' Bowling', 2), (' Sandwiches', 2), (' American (Traditional)', 2), (' Car Dealers', 1), ('', 1), (' Ice Cream & Frozen Yogurt', 1), (' Reflexology', 1), (' Pool Halls', 1), ('Arts & Entertainment', 1), ('Fast Food', 1), (' Auto Parts & Supplies', 1), (' Lounges', 1), (' Vape Shops', 1), (' Cosmetic Dentists', 1), (' Reiki', 1), (""Women's Clothing"", 1), (' American (New)', 1), (' Florists', 1), ('Automotive', 1), (' Gluten-Free', 1), (' Piercing', 1), (' Sports Bars', 1), (' Arts & Entertainment', 1), (' Breakfast & Brunch', 1), (' Greek', 1), ('Pediatric Dentists', 1), ('Diners', 1), (' Food', 1), ('Books', 1), (' Wine & Spirits', 1), ('Bakeries', 1), ('Chinese', 1), ('Hot Dogs', 1), (' Cinema', 1), (' Fitness & Instruction', 1), ('Flowers & Gifts', 1), ('Local Services', 1), ('Nightlife', 1), ('Mexican', 1), ('Tattoo', 1), ('Dive Bars', 1), (' Music Venues', 1), (' Diners', 1), (' Desserts', 1), (' General Dentistry', 1), (' Yoga', 1), (' Dry Cleaning & Laundry', 1), ('Breakfast & Brunch', 1), (' Donuts', 1), (' Bagels', 1), (' Dentists', 1), (' Chinese', 1), ('Asian Fusion', 1), ('Delis', 1), (' Beer', 1), ('Veterinarians', 1), (' Pets', 1), ('Polish', 1), (' Hair Extensions', 1), (' Bridal', 1), (' Fashion', 1)]"
65,66,"[(' Apartments', 1), ('Auto Repair', 1), ('Food', 1), (' Coffee & Tea', 1), (' Real Estate', 1), (' Automotive', 1), (' Beauty & Spas', 1), ('Home Services', 1), ('Massage', 1)]"
66,67,"[('Bars', 1), (' Fitness & Instruction', 1), (' American (Traditional)', 1), (' Pilates', 1), (' Gyms', 1), ('Active Life', 1), ('Tires', 1), (' Automotive', 1), (' Car Stereo Installation', 1), (' Auto Detailing', 1), (' Nightlife', 1), (' Restaurants', 1), (' Trainers', 1)]"
67,68,"[(' Restaurants', 5), ('Breakfast & Brunch', 2), ('Bakeries', 1), ('American (New)', 1), (' Cafes', 1), (' Food', 1), (' Sandwiches', 1), ('Pizza', 1), ('Italian', 1)]"
68,69,"[('Pet Services', 1), (' Dog Walkers', 1), (' Pets', 1)]"
69,70,"[(' Restaurants', 2), (' American (Traditional)', 2), ('Bars', 2), (' Nightlife', 2)]"
70,71,"[(' Hotels & Travel', 1), (' Cinema', 1), (' Apartments', 1), (' Italian', 1), ('Arts & Entertainment', 1), (' Real Estate', 1), ('Sushi Bars', 1), (' Restaurants', 1), ('Home Services', 1), (' Event Planning & Services', 1), (' Hotels', 1), ('Restaurants', 1)]"
71,72,"[(' Gas & Service Stations', 2), ('Automotive', 2), ('Health & Medical', 2), (' General Dentistry', 1), (' Chiropractors', 1), (' Nail Salons', 1), ('Beauty & Spas', 1), (' Dentists', 1)]"
72,73,"[(' Restaurants', 15), (' Nightlife', 7), (' Shopping', 6), ('Food', 4), (' Beauty & Spas', 4), ('Bars', 4), (' Home Services', 3), (' Bars', 3), (' Specialty Food', 2), (' Home & Garden', 2), ('Dive Bars', 2), (' Italian', 2), (' American (Traditional)', 2), ('Thai', 2), ('Cafes', 2), ('Local Services', 2), ('Chinese', 2), (' Antiques', 2), ('Tattoo', 1), (' Day Spas', 1), ('Gastropubs', 1), ('Yoga', 1), ('American (New)', 1), (' Active Life', 1), (' Asian Fusion', 1), (' Meat Shops', 1), (' Real Estate', 1), ('Breakfast & Brunch', 1), (' Diners', 1), (' Screen Printing', 1), ('Bridal', 1), (' Venues & Event Spaces', 1), ('Sushi Bars', 1), (' Furniture Stores', 1), ('Hair Salons', 1), ('Nurseries & Gardening', 1), (' Printing Services', 1), (' Cosmetics & Beauty Supply', 1), (' American (New)', 1), (' Florists', 1), ('Property Management', 1), ('Pizza', 1), (' Juice Bars & Smoothies', 1), ('Bakeries', 1), ('Wine Bars', 1), (' Hair Salons', 1), ('Skin Care', 1), (' Fitness & Instruction', 1), (' Chinese', 1), (' Food', 1), (' Mediterranean', 1), (' Gay Bars', 1), ('Plumbing', 1), ('Shopping', 1), ('Tobacco Shops', 1), (' Event Planning & Services', 1), ('Restaurants', 1), (' Butcher', 1), ('Thrift Stores', 1), (' Dry Cleaning & Laundry', 1), (' Screen Printing/T-Shirt Printing', 1), (' Filipino', 1), ('Home Decor', 1), (' Food Delivery Services', 1), ('Electricians', 1), (' Flowers & Gifts', 1), ('Veterinarians', 1), (' Pets', 1), (' Cocktail Bars', 1), (' Pizza', 1)]"
73,74,"[(' Restaurants', 1), (' American (Traditional)', 1), ('Bars', 1), (' Nightlife', 1)]"
74,75,"[(' Event Planning & Services', 3), (' Hotels', 3), ('Hotels & Travel', 3), ('Car Wash', 1), (' Automotive', 1), (' Restaurants', 1), (' Venues & Event Spaces', 1), ('Sandwiches', 1)]"
75,76,"[(' Restaurants', 2), ('Bars', 1), (' American (New)', 1), (' Chicken Wings', 1), ('Cafes', 1), (' Parks', 1), ('Active Life', 1), (' Pubs', 1), (' Sandwiches', 1), (' Nightlife', 1), (' Dog Parks', 1)]"
76,77,"[('Libraries', 1), (' Public Services & Government', 1), (' Health & Medical', 1), ('Acupuncture', 1)]"
77,78,"[(' Music Venues', 1), ('Libraries', 1), (' Nightlife', 1), ('Arts & Entertainment', 1), (' Public Services & Government', 1)]"
78,79,"[(' Golf', 1), ('Active Life', 1)]"
79,80,"[(' Restaurants', 7), ('Pizza', 2), (' Shopping', 1), ('Beauty & Spas', 1), ('Fast Food', 1), ('Sushi Bars', 1), (' American (New)', 1), ('Food', 1), (' Beauty & Spas', 1), (' Grocery', 1), (' Italian', 1), (' Nightlife', 1), (' Home Services', 1), (' Wine & Spirits', 1), (' Nail Salons', 1), (' Fitness & Instruction', 1), (' Chinese', 1), (' Real Estate Agents', 1), ('Sporting Goods', 1), ('Massage', 1), ('Restaurants', 1), ('Bars', 1), (' Yoga', 1), ('Chinese', 1), ('Asian Fusion', 1), ('Active Life', 1), (' Beer', 1), ('Real Estate', 1), (' Real Estate Services', 1)]"
80,81,"[(' Skin Care', 1), ('Colleges & Universities', 1), (' Beauty & Spas', 1), (' Medical Spas', 1), (' Cosmetic Surgeons', 1), ('Arts & Entertainment', 1), (' Performing Arts', 1), (' Health & Medical', 1), (' Hotels', 1), ('Doctors', 1), (' Education', 1), ('Automotive', 1), (' Event Planning & Services', 1), ('Hotels & Travel', 1), (' Towing', 1)]"
81,82,"[(' Restaurants', 1), (' Food Stands', 1), ('Indian', 1)]"
82,83,"[('Photographers', 1), (' Event Planning & Services', 1)]"
83,84,"[(' Shopping', 1), ('Food', 1), (' Grocery', 1), (' Delis', 1), (' Sandwiches', 1), ('Shopping Centers', 1), (' Restaurants', 1)]"
84,85,"[(' Bars', 1), (' Sports Bars', 1), (' Automotive', 1), ('Tires', 1), (' Restaurants', 1), ('Sandwiches', 1), (' Nightlife', 1), (' Auto Parts & Supplies', 1)]"
85,86,"[(' Kids Activities', 1), (' Educational Services', 1), (' Active Life', 1), (' American (Traditional)', 1), (' Education', 1), ('Arts & Entertainment', 1), ('Breakfast & Brunch', 1), ('Food', 1), (' Sandwiches', 1), (' Cultural Center', 1), (' Coffee & Tea', 1), (' Restaurants', 1)]"
86,87,"[('Chinese', 1), ('Food', 1), (' Beer', 1), (' Restaurants', 1), (' Wine & Spirits', 1), ('Restaurants', 1)]"
87,88,"[(' Restaurants', 8), ('Food', 5), (' Nightlife', 3), ('Thai', 3), (' Shopping', 2), (' Beauty & Spas', 2), (' Coffee & Tea', 2), ('Local Services', 2), ('Bars', 2), (' Dry Cleaning & Laundry', 2), (' Day Spas', 2), (' Gas & Service Stations', 1), ('American (New)', 1), (' Automotive', 1), ('Arts & Entertainment', 1), (' Health & Medical', 1), ('Breakfast & Brunch', 1), ('Pet Groomers', 1), (' Hot Dogs', 1), ('Acupuncture', 1), ('Flowers & Gifts', 1), (' Bakeries', 1), ('Used', 1), (' Florists', 1), (' Vegetarian', 1), ('Pubs', 1), (' Massage', 1), (' Wine & Spirits', 1), (' Bars', 1), (' Cinema', 1), (' Vintage & Consignment', 1), ('Gastropubs', 1), (' Fashion', 1), (' Desserts', 1), (' Pet Services', 1), (' Event Planning & Services', 1), ('Restaurants', 1), ('American (Traditional)', 1), (' Caterers', 1), (' Italian', 1), (' Cafes', 1), (' Beer', 1), (' Pets', 1), ('Hair Salons', 1), (' Convenience Stores', 1)]"
88,89,"[(' Restaurants', 3), ('Food', 2), ('Hair Salons', 1), ('Breakfast & Brunch', 1), (' Buffets', 1), (' Shopping', 1), (' Dry Cleaning & Laundry', 1), ('Health & Medical', 1), (' Beauty & Spas', 1), (' Japanese', 1), ('Local Services', 1), (' Tobacco Shops', 1), (' Beer', 1), (' Fast Food', 1), (' Donuts', 1), (' Coffee & Tea', 1), ('Burgers', 1), (' Wine & Spirits', 1), (' Urgent Care', 1), ('Sushi Bars', 1)]"
89,90,"[(' Restaurants', 10), ('Food', 4), (' Grocery', 3), ('American (New)', 2), (' Specialty Food', 2), ('Pizza', 2), (' Beauty & Spas', 2), (' Nightlife', 2), ('Restaurants', 2), (' Ice Cream & Frozen Yogurt', 1), (' Dentists', 1), (' Automotive', 1), (' American (Traditional)', 1), ('Breakfast & Brunch', 1), ('Oil Change Stations', 1), (' Cosmetic Dentists', 1), (' Fruits & Veggies', 1), (' Seafood', 1), (' American (New)', 1), ('Vegan', 1), (' Italian', 1), ('Diners', 1), (' Food', 1), ('Bakeries', 1), (' Bars', 1), ('Hair Salons', 1), (' Fitness & Instruction', 1), (' Coffee & Tea', 1), (' Cupcakes', 1), (' Mediterranean', 1), (' Desserts', 1), (' Sports Bars', 1), ('Massage', 1), ('Portuguese', 1), ('Bars', 1), (' General Dentistry', 1), (' Yoga', 1), (' Dry Cleaning & Laundry', 1), ('Burgers', 1), ('Local Services', 1), ('Active Life', 1), ('Health & Medical', 1), (' Farmers Market', 1), (' Delis', 1)]"
90,91,"[(' Restaurants', 1), ('Pizza', 1)]"
91,92,"[(' Restaurants', 8), ('American (New)', 3), ('Shopping', 3), (' Nightlife', 3), (' Food', 2), (' American (New)', 2), (' Beauty & Spas', 2), ('Pubs', 2), (' Automotive', 2), (' Bars', 2), (' Body Shops', 2), ('Tattoo', 1), (' Food Trucks', 1), (' Southern', 1), ('Arts & Entertainment', 1), (' Lounges', 1), ('Active Life', 1), (' Martial Arts', 1), (' Cosmetics & Beauty Supply', 1), ('Car Wash', 1), ('Food', 1), ('Vietnamese', 1), (' Piercing', 1), (' Advertising', 1), (' Oil Change Stations', 1), (' Home Services', 1), ('Gastropubs', 1), (' Furniture Stores', 1), ('Auto Repair', 1), (' Fitness & Instruction', 1), (' Chinese', 1), (' Interior Design', 1), (' Home & Garden', 1), (' Convenience Stores', 1), ('Italian', 1), ('Bars', 1), (' Web Design', 1), (' Drugstores', 1), (' Tai Chi', 1), (' Antiques', 1), (' Breweries', 1), (' Auto Detailing', 1), ('Automotive', 1), ('Professional Services', 1), (' Pizza', 1), (' Barbeque', 1)]"
92,93,"[(' Restaurants', 1), (' Beauty & Spas', 1), ('Massage', 1), ('Pizza', 1)]"
93,94,"[(' Restaurants', 8), ('Chinese', 2), ('Pizza', 2), (' American (New)', 1), ('Greek', 1), ('Food', 1), (' Pets', 1), (' Middle Eastern', 1), (' Grocery', 1), ('Burgers', 1), ('Pet Groomers', 1), ('Sandwiches', 1), (' Pet Services', 1), ('Barbeque', 1)]"
94,95,"[(' Restaurants', 1), (' American (Traditional)', 1), ('Bars', 1), (' Nightlife', 1)]"
95,96,"[(' Body Shops', 1), ('Bakeries', 1), ('Food', 1), ('Automotive', 1), (' Specialty Food', 1), (' Cafes', 1), (' Food', 1), (' Restaurants', 1)]"
96,97,"[(' Restaurants', 11), (' Nightlife', 7), ('Bars', 7), ('Food', 5), (' Shopping', 2), ('Pizza', 2), (' American (New)', 2), (' Florists', 2), ('Flowers & Gifts', 2), ('Chinese', 2), (' Gas & Service Stations', 1), (' Ice Cream & Frozen Yogurt', 1), ('American (New)', 1), (' Automotive', 1), (' American (Traditional)', 1), (' Russian', 1), (' Pubs', 1), (' Diners', 1), (' Hot Dogs', 1), (' Gastropubs', 1), (' Beauty & Spas', 1), (' Grocery', 1), (' Food', 1), (' Wine & Spirits', 1), ('Barbers', 1), (' Burgers', 1), ('Bakeries', 1), ('Uzbek', 1), (' Coffee & Tea', 1), ('Local Services', 1), (' Sports Bars', 1), (' Halal', 1), (' Convenience Stores', 1), (' Dry Cleaning & Laundry', 1), ('Breakfast & Brunch', 1), (' Caterers', 1), (' Beer', 1), (' Cocktail Bars', 1), ('Event Planning & Services', 1)]"
97,98,"[(' Restaurants', 6), (' Food', 2), ('Beauty & Spas', 2), ('Bakeries', 2), (' Nail Salons', 2), (' Auto Repair', 1), (' Automotive', 1), ('Breakfast & Brunch', 1), (' Diners', 1), ('Pet Services', 1), (' Cosmetics & Beauty Supply', 1), ('Shopping', 1), (' American (New)', 1), (' Beauty & Spas', 1), (' Pet Groomers', 1), (' Fast Food', 1), ('Diners', 1), (' Heating & Air Conditioning/HVAC', 1), (' American (Traditional)', 1), (' Home Services', 1), ('Local Services', 1), ('Greek', 1), ('Plumbing', 1), (' Pet Boarding/Pet Sitting', 1), ('Chinese', 1), ('Burgers', 1), ('American (Traditional)', 1), ('Tires', 1), (' Oil Change Stations', 1), (' Community Service/Non-Profit', 1), (' Pets', 1)]"
98,99,"[(' Shopping', 7), (' Restaurants', 5), ('Arts & Entertainment', 3), ('Food', 3), (' Art Galleries', 3), ('Shopping', 2), (' Arts & Entertainment', 2), ('Vietnamese', 1), (' Mags', 1), ('Indian', 1), (' Financial Services', 1), (' Specialty Food', 1), ('Banks & Credit Unions', 1), ('Pizza', 1), (' Cosmetics & Beauty Supply', 1), ('Used', 1), (' Salad', 1), (' Florists', 1), (' Beauty & Spas', 1), (' Grocery', 1), (' Italian', 1), (' Nightlife', 1), (' Performing Arts', 1), (' Tea Rooms', 1), (' Bars', 1), (' Bookstores', 1), (' Vintage & Consignment', 1), (' Fashion', 1), ('Flowers & Gifts', 1), ('Museums', 1), (' Pet Services', 1), ('Sporting Goods', 1), (' Music Venues', 1), ('Restaurants', 1), (' Music & Video', 1), (' Bikes', 1), ('Steakhouses', 1), (' Discount Store', 1), ('Pet Groomers', 1), (' Chicken Wings', 1), (' Cafes', 1), ('Books', 1), (' Pets', 1), (' Pizza', 1), (' Barbeque', 1)]"
99,100,"[('Home Services', 1), (' Heating & Air Conditioning/HVAC', 1)]"
100,101,"[(' Restaurants', 10), ('American (New)', 3), ('American (Traditional)', 2), ('Seafood', 2), (' Seafood', 2), (' Italian', 1), ('Bars', 1), (' Steakhouses', 1), ('Tapas/Small Plates', 1), ('Restaurants', 1), ('Landmarks & Historical Buildings', 1), ('Steakhouses', 1), (' Chiropractors', 1), ('Health & Medical', 1), (' Wine Bars', 1), (' Nightlife', 1), (' Sushi Bars', 1), (' Public Services & Government', 1)]"
